gene_name,Q4minusQ1,Q3minusOther,InputMinusAvg
Ino80,2.095700079,-0.625338179,-2.616840216
Iws1,-2.453330955,-2.079929016,-0.497318447
Jarid2,1.145338676,0.403239886,-1.587176453
Jhdm1d,0.407372652,-0.639166027,-2.000489928
Jmjd1c,-1.951410416,-1.729527892,-1.89807728
Jmjd4,0.787237015,0.80117354,-1.789202777
Jmjd5,-0.335398421,-1.632369831,0.824249371
Jmjd6,-0.846688045,-1.785519986,0.747207122
Jmjd8,-0.159857917,-0.615386976,-2.041092896
Kat2a,-0.816330099,-0.974660028,-0.118294666
Kat2b,-1.146339892,0.209204374,0.620683646
Kat5,1.207731668,0.578738229,-0.285536113
Kdm1a,1.706288831,-1.589885446,-0.280066072
Kdm1b,-0.422069753,0.51634324,-0.528552745
Kdm2a,0.688300263,0.865052168,0.602276992
Kdm2b,2.186688837,-0.673748137,4.529070357
Kdm3a,-1.367362872,-2.41993563,1.412539415
Kdm3b,1.200835523,0.676559055,0.603752562
Kdm4a,1.894312596,-1.003968065,0.458687824
Kdm4b,1.123234959,1.421048841,0.46888203
Kdm4c,1.07846665,-2.047268816,-0.605038325
Kdm4d,-0.381585419,-0.893087007,-0.907837792
Kdm5a,0.746726158,0.339305527,-0.896172811
Kdm5b,-0.702854316,1.179810662,0.409790728
Kdm5c,0.306336964,1.005996868,0.392167838
Kdm5d,-1.22303662,-0.517901923,-0.867216837
Kdm6a,-1.185740867,0.477530376,-0.808980982
Kdm6b,1.11147338,-0.364708928,3.55128534
Klf12,1.160377538,1.077159765,2.139330858
Klf2,1.076973499,3.651998142,2.284482762
L3mbtl1,0.674140081,0.903572958,0.507317427
L3mbtl2,-1.30976099,-1.572583316,0.590114477
L3mbtl3,-1.58920901,0.674784191,0.330659433
L3mbtl4,0.74412669,-1.091687696,-0.223088556
Mbd1,0.571732498,-0.516413417,1.957449087
Mbd2,-2.734157928,0.933649044,1.766394931
Mbd3,-0.715652748,-1.209379459,1.011637946
Mbd4,-0.164741086,-1.096854579,-1.615684655
Mecom,0.55999732,1.142636473,0.783423608
Mecp2,-1.792289292,-1.091628712,-4.052549167
Men1,0.540487922,-0.863960735,1.766656414
Mll1,-2.358140657,-2.567722924,1.864906321
Mll2,-0.935825943,-1.260440819,1.464757887
Mll3,-1.933377508,1.118051289,-1.125239233
Mll5,-1.092501647,-1.05104899,0.417224583
Morf4l1,-0.918654142,-1.829021797,-1.586869593
Ms4a1,-0.082569207,3.187322125,-1.30461305
Msl3,1.395931632,-0.164103388,-2.800195019
Mta1,-1.021339617,-1.570189955,1.441299867
Mta2,-1.16071154,-1.203521584,0.197770222
Mta3,0.850213455,0.964514719,0.665081026
Mtf2,-0.550337412,0.179193459,0.735354514
Myst1,0.105177983,-2.014192969,-0.327815243
Myst2,0.451349791,-1.011408377,1.472949722
Myst3,-0.80401986,-1.053254128,0.870856082
Myst4,-0.912169507,-0.485765933,1.021860791
Nap1l1,-2.80435701,-2.172506666,-0.447046704
Nap1l2,0.813699231,-4.219364657,-0.583999372
Nap1l3,-0.44715537,-0.786778817,-0.815787247
Ncoa1,-1.127411356,-1.079286558,1.159468296
Ncoa3,1.620530641,-2.137709039,-0.951663564
Ncor1,-1.655147296,0.69909119,-1.853365026
Ncor2,-2.498337021,1.612985309,-1.278543485
Nfatc3,-1.295510992,0.266095302,1.542328248
Nsd1,3.736601574,0.481992362,1.049725486
Orc1,-1.073297502,-0.267353444,0.304458401
Padi1,-0.515553629,0.778992888,-0.553277163
Padi2,-1.060430057,0.759172128,-0.239923483
Padi4,1.141758522,-0.729245493,-0.449879561
Padi6,-0.384432247,-1.786150652,-0.265768395
Paf1,-1.076899731,-1.479896057,-0.641508218
Parp1,-0.365487982,-1.609856207,1.053308835
Parp2,-0.145470428,-0.330447862,-1.422983619
Paxip1,0.769535815,0.82387437,-1.722794659
Pbrm1,0.684299165,0.980599303,-1.227610108
Pcgf1,0.520650187,-0.814897375,-1.310855431
Pcgf2,0.697800422,1.735194183,3.033451822
Pcgf5,2.97642047,-3.296834194,1.029874177
Pcgf6,0.646108271,-1.202387071,-2.15038554
Pcmt1,0.761158662,0.174041907,-2.070463734
Phc1,1.822981532,-0.180682803,0.989382655
Phc2,0.934122465,1.907317213,-1.303460092
Phc3,-1.234463462,0.701929491,2.378488036
Phf1,0.217416144,-2.57503012,1.523859696
Phf10,-0.805951504,-0.648319305,0.602693963
Phf17,-1.475581439,-1.244199016,-0.29462216
Phf19,-0.902927897,-0.640805893,1.174304949
Phf2,0.379037838,0.716478815,0.518210463
Phf20,-1.008331281,-0.510984746,0.259472646
Phf20l1,1.250353458,-0.12552571,0.937368096
Phf8,2.188163937,0.767374242,1.233595828
Phip,0.389420669,-0.874670002,-0.206691862
Polr2b,1.586167986,-1.327153832,2.086061817
Ppargc1a,-1.137058502,-1.868177024,-1.028885822
Prdm1,0.952927584,0.479024338,-0.792632875
Prdm10,-0.86650494,0.461732178,0.229311576
Prdm11,-1.488732538,-0.902263304,0.899407243
Prdm12,-0.598301905,-0.458208678,-0.895304072
Prdm13,-0.135392729,0.617536584,2.501666639
Prdm14,-0.691817513,2.207605706,1.352585518
Prdm15,-2.102412644,-0.711008246,-1.427697241
Prdm16,4.052119665,2.763462715,1.431394384
Prdm2,-0.520544448,-1.234471173,1.148204098
Prdm4,1.113034377,-1.017701249,-0.527382394
Prdm5,0.622088747,-3.039065423,2.79021729
Prdm6,1.603768352,-0.453808638,1.287905349
Prdm8,-0.29227701,0.333872939,0.506574002
Prdm9,-0.925606787,-1.575699576,-0.64309931
Prkaa1,-1.41252065,-1.034543815,1.068637466
Prkaa2,0.535305045,0.734814189,-1.058939508
Prkcd,1.369903861,-0.239123933,-0.098667858
Prmt1,-0.51082442,0.629979168,1.143928195
Prmt2,-0.52567496,-0.771817085,-0.192130843
Prmt3,1.133268576,0.434295064,-1.082029113
Prmt5,-1.190239599,-2.255739122,1.389559268
Prmt6,-1.293093007,-3.817043885,0.22716243
Prmt7,-1.120238137,-1.832674379,1.52617
Prmt8,1.359290839,0.145628559,0.358907715
Psip1,1.423580488,-1.086326368,-0.993383031
Rbbp4,0.588138069,0.246258995,0.850851308
Rbbp5,0.740202785,-0.686674941,-1.532012072
Rbbp7,0.662006726,-2.014680559,-1.823237843
Ring1,1.595637985,1.26911728,2.190645733
Rnf2,1.068543087,0.731036929,-0.810381033
Rnf20,-1.656914244,-0.60751694,-2.419283875
Rnf217,-0.424549703,-0.075972295,0.356759924
Rnf40,1.160548723,-0.853807382,1.710874893
Rpa3,1.802543145,1.256648428,5.191706209
Runx3,-2.051085219,0.820330124,1.636450927
Satb1,0.450228472,-0.841938603,-1.658744867
Scmh1,-0.703536512,0.741471702,0.825089152
Scml2,0.938200632,0.38791144,2.228384497
Scml4,1.300579266,0.96737608,0.607775169
Setd1a,-0.562616647,-0.420512417,1.039053122
Setd2,0.581854864,1.301447629,1.21507725
Setd3,0.749576293,1.794266321,1.635623157
Setd4,0.32204763,0.485963854,2.019364174
Setd5,-0.933636514,0.861724583,-1.082244485
Setd7,-1.633499917,0.42709662,1.664206359
Setd8,0.593436556,0.298301925,2.41262832
Setdb1,0.329442418,0.91515736,0.247890009
Setdb2,1.013982331,-1.136400039,0.62058533
Setmar,0.193759542,1.453856912,1.988034637
Sfmbt1,0.132338329,0.908561951,1.239293886
Sfmbt2,-1.450994163,-0.683541019,1.465916863
Sgk1,1.031512909,-1.705137078,-1.078358561
Sin3a,1.41768112,-0.612243697,1.874143623
Sin3b,-0.055645872,0.431439292,3.238515621
Sirt1,-0.713026621,1.237574944,-0.161968723
Sirt3,-2.195617765,-0.469118413,1.226355702
Sirt4,-1.201908327,1.586262825,3.269707795
Sirt5,0.87360123,1.332973132,1.310821478
