,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Ly6a,0.868124545,1.215974569,1.93706882,2.226624966,2.105703115,2.04629755,2.301961899,2.294457197,2.454389572,2.015670776,1.051872849
Pdcd11,0.179343328,0.187030733,0.263829738,0.136465162,0.1982923,0.157011554,0.162113294,0.18037118,0.149886727,0.127618179,0.083572753
Trim28,0.242456406,0.198098987,0.544171572,0.406924248,0.423337787,0.410793781,0.298031062,0.257542968,0.20548296,0.150160268,0.158755422
Mlx,0.206022173,0.189879358,0.331949502,0.405843109,0.388606399,0.293644577,0.35154593,0.276501805,0.24545306,0.300215662,0.262848616
Sp100,1.336429834,1.236287236,0.923839331,1.472982526,1.291360617,1.169252515,1.256118298,1.395632625,1.580517888,1.920228601,1.970947504
Churc1,0.699881077,0.635908663,0.588818133,0.696985364,0.684599936,0.620455921,0.769781053,0.851518393,0.607656777,0.676737428,0.535980105
Hdac2,0.248508036,0.201654717,0.546496093,0.290276945,0.400147825,0.429323852,0.317242563,0.241837651,0.205920324,0.148773253,0.169480294
Cebpg,0.099954367,0.096658088,0.283861458,0.241141647,0.253221244,0.32520622,0.249001965,0.193711713,0.219581917,0.154994786,0.158998385
Smarcad1,0.145740941,0.171338528,0.318767011,0.279290766,0.317921698,0.334302694,0.277321398,0.288994104,0.254886389,0.221489668,0.165434808
Crtam,0.096742414,0.141969323,0.177512422,0.173071295,0.175462529,0.157406911,0.168899104,0.687000692,0.25452587,0.264463246,0.225796491
Mycbp,0.059440039,0.057060026,0.294757903,0.192992359,0.232130826,0.233719036,0.197694346,0.128028989,0.115303189,0.087020323,0.082841784
Havcr2,0.008238771,0.004841982,0.411477983,0.402783334,0.476843208,0.443186045,0.468936086,0.077428825,0.632944047,0.19077003,0.164029703
Gata3,0.173117012,0.119400345,0.159153461,0.320718706,0.25284797,0.180613786,0.201958984,0.172728643,0.209770173,0.249451816,0.184104785
Safb,0.311215311,0.401909202,0.478614151,0.502886832,0.515997112,0.426714152,0.365101695,0.433430284,0.34550041,0.330298364,0.284449995
Btg1,2.497756243,2.665289879,0.764770746,1.446480513,1.074259281,0.947894871,1.223068237,1.809581161,2.160086393,2.583566427,2.635010242
Cd48,0.712625444,0.717965007,1.778908491,2.140310526,2.10593605,1.943388939,2.236518621,1.465455055,1.846482158,1.730606318,1.786254048
Foxm1,0.016230565,0.017084531,0.163221642,0.370952725,0.251320541,0.176774815,0.099848539,0.036831703,0.015010177,0.018793279,0.009688757
Carm1,0.068474598,0.062684461,0.182764754,0.064636752,0.093611367,0.103904381,0.075669691,0.084555633,0.071732007,0.041017886,0.044191595
Sf1,0.468307912,0.512788892,0.818310201,0.712143838,0.7887097,0.713098466,0.636439919,0.562364042,0.502708495,0.510237873,0.438579023
Asb1,0.026034404,0.018107658,0.049660951,0.072660044,0.076481119,0.04436662,0.071855195,0.039739124,0.038472638,0.035658021,0.043681458
Treml2,0.336393833,0.316453665,0.032959931,0.012814372,0.018828617,0.013383184,0.012536121,0.07100857,0.007170107,0.010703272,0.002049717
Ybx1,1.405515194,1.283388376,2.681060076,2.350897789,2.620171547,2.606753588,2.429677248,2.047662497,1.818240047,1.645086408,1.573167562
Brca2,0.024483291,0.031305384,0.269339681,0.223409936,0.220722571,0.27608484,0.131250486,0.075656191,0.109236941,0.021198414,0.009688796
Nap1l4,0.545457244,0.494487137,0.758797109,0.671070457,0.735444009,0.751624405,0.619295776,0.63258177,0.550844848,0.50086391,0.471095383
Ctnnb1,0.358549058,0.208511055,0.506773233,0.419731259,0.45803833,0.409126282,0.443449646,0.370410562,0.419391513,0.289660245,0.295832872
Hnrnpul1,0.38023293,0.39027372,0.687410891,0.785600483,0.713414907,0.728469253,0.638820589,0.562863052,0.526193202,0.494353652,0.486952722
Stat5a,0.156109497,0.175057054,0.229791224,0.212706745,0.237930343,0.215119317,0.238016397,0.321625173,0.167187631,0.223785788,0.182258144
Zbtb22,0.061018169,0.049325868,0.066697732,0.107098982,0.076244831,0.059972804,0.043791257,0.067530453,0.055620186,0.062854879,0.078874893
Mlxip,0.117787153,0.093330674,0.084921971,0.113453895,0.103757106,0.079727948,0.088296302,0.12796472,0.234606683,0.129654586,0.108174793
Lag3,0.014133471,0.021676239,0.195349365,0.481160969,0.264995247,0.336001217,0.359422565,0.650152624,1.331961036,0.167481467,0.064512379
Polr2c,0.332123339,0.301982492,0.77504307,0.689933538,0.722408175,0.655779362,0.658325493,0.51553458,0.437876672,0.397736579,0.356410801
Uhrf1,0.031873181,0.032255474,0.862045646,0.505949795,0.667753875,0.930567324,0.468980521,0.226605311,0.178335026,0.050814565,0.027802944
Polr2h,0.29228276,0.233754456,0.689750552,0.356874555,0.529922783,0.498959601,0.460678607,0.487193078,0.323814034,0.236491486,0.174608707
Itgam,0.008637955,0.002612115,0.063568242,0.137651056,0.153584614,0.176979959,0.174060032,0.013341909,0.103864133,0.132166654,0.272569656
E2f4,0.215123624,0.189500973,0.59097302,0.467764229,0.518565178,0.449075609,0.474375576,0.339153141,0.316084951,0.262816012,0.239743799
Fasl,0.006851308,0.061939366,0.099900082,0.25907293,0.213206306,0.19888638,0.246472895,0.042240202,0.31657359,0.459055901,0.560311377
Ssbp3,0.270367652,0.206136167,0.496105433,0.438167065,0.476116955,0.441543937,0.398365706,0.427074045,0.334862977,0.24268356,0.202640384
Insr,0.089058489,0.059903163,0.009977824,0.003946224,0.003745203,0.005754764,0.001799506,0.01113242,0,0.015524098,0.005617001
Ubtf,0.503953874,0.447462529,0.920235395,0.616287589,0.830146134,0.909635305,0.694130361,0.648314595,0.650921941,0.524088681,0.611339152
Atr,0.177981183,0.129348308,0.126360014,0.206188738,0.174622789,0.158950806,0.10267552,0.136804551,0.169768423,0.150507808,0.139363736
Taf1,0.17870836,0.209344849,0.341630489,0.374305159,0.389253348,0.365153998,0.2519961,0.232118517,0.224234626,0.18821609,0.183720082
Ilf3,0.187501177,0.163453892,0.312252074,0.306400418,0.295865595,0.292310357,0.226251841,0.211683095,0.201200217,0.165864035,0.171812266
Asxl2,0.483427763,0.341958523,0.249851376,0.242498785,0.225399837,0.227891535,0.204149768,0.26947999,0.319127977,0.357992381,0.319038689
Cnot6l,0.63292408,0.767552078,0.689039648,0.847614527,0.800767064,0.763744652,0.682447851,1.049882412,0.929479301,1.083749771,0.94631958
Tnfsf11,0,0.001376931,0.005089601,0.004676268,0.005626848,0.001935772,0.000419683,0.047367301,0,0.000717259,0
Phf6,0.150999174,0.108054705,0.255640417,0.288557738,0.243591458,0.25417468,0.239383146,0.253795058,0.282442898,0.188733473,0.137139007
Jmjd6,0.175322518,0.234427109,0.35357514,0.248333961,0.318130314,0.275041938,0.304136515,0.288223952,0.252201855,0.25198704,0.248082563
Ahr,0.011723168,0.043964662,0.027335793,0.017441643,0.019880839,0.020786745,0.013700949,0.052132763,0.013445165,0.006465778,0.001804936
Klf13,1.198994637,1.098648548,0.567850649,0.736943305,0.73457396,0.61466223,0.71968627,0.580415785,0.892113268,1.058609605,0.959765553
Dido1,0.287802964,0.271198034,0.247206286,0.217831194,0.227468088,0.222835764,0.246771351,0.262395173,0.34653157,0.253212392,0.245921731
Itgb7,1.152831793,0.85165745,1.231599569,1.53227675,1.568668127,1.494600773,1.614560008,1.198446155,1.335185528,1.352110505,1.137858868
Kat7,0.150041044,0.134875551,0.269850135,0.312468439,0.29169488,0.273281246,0.210568577,0.180710718,0.255253226,0.202248871,0.170174316
Trip4,0.108198032,0.095219575,0.119673364,0.143006638,0.142265067,0.124481276,0.142355204,0.141859844,0.164564416,0.254833311,0.216598094
Lilrb4a,0.006088773,0.053720068,0.026226413,0.037139714,0.032156654,0.029799366,0.036242679,0.047316566,0.106031954,0.085194148,0.028396584
Myb,0.094194181,0.251082212,0.289116353,0.2490495,0.275358111,0.235410064,0.178131178,0.28537187,0.161459595,0.064558454,0.019208008
Pbx3,0.006032011,0.009843781,0.040448211,0.053931549,0.037918899,0.04718009,0.031408273,0.022984629,0.101323768,0.02796169,0.025183639
Sp1,0.228323251,0.208493903,0.22716783,0.356506854,0.281310201,0.258508533,0.181845009,0.215805501,0.235496923,0.2390223,0.230791166
Mllt1,0.063384525,0.043203983,0.09508124,0.100422904,0.118812896,0.108124152,0.102421783,0.059560843,0.053507317,0.060651526,0.060033981
Tnfrsf8,0,0,0.032981165,0.002518675,0.007189135,0.012726843,0.007095525,0.003367136,0.001508489,0.002839274,0.00782688
Zfp644,0.636534452,0.61964643,0.385184705,0.441235811,0.444221646,0.420890212,0.388731927,0.491884917,0.456724226,0.530542195,0.522238553
Iws1,0.322001904,0.272164583,0.413473159,0.467042476,0.465171665,0.383636355,0.336750656,0.343214422,0.34779498,0.286268979,0.281378955
Med30,0.481825262,0.400689453,0.929081619,1.122915983,1.033199191,0.907328308,0.990744293,0.581597865,0.565367877,0.520963311,0.569255888
Sfpq,0.92803365,1.248977184,1.612775564,1.452967286,1.569883943,1.463853836,1.50516665,1.402463675,1.227237105,1.207106113,1.037947178
Setd3,0.188685179,0.215781257,0.425717086,0.39815408,0.419737101,0.368763387,0.377847224,0.329965472,0.276741385,0.321009606,0.261004686
Parp1,0.204374805,0.236702517,0.722525418,0.380027264,0.574557483,0.518202424,0.386501878,0.387185454,0.227126807,0.169534311,0.23896119
Phf20l1,0.731719792,0.700707257,0.518503606,0.777801275,0.691539764,0.589613676,0.631092906,0.592204154,0.708347082,0.76215297,0.881365001
Rbpj,0.153399244,0.143746495,0.235029757,0.182364658,0.201166391,0.187564269,0.190236449,0.283987522,0.328597784,0.191994011,0.156466782
Cx3cr1,0.002599962,0.001948141,0.034341969,0.271547884,0.135932595,0.130835742,0.222935721,0.024178943,0.312049776,0.391965449,1.418627024
Polr3k,0.197949499,0.169748724,0.772139311,0.595864475,0.669906437,0.603845,0.655719101,0.467692703,0.384840012,0.303843796,0.276084989
Klrb1c,0.002323753,0.011056771,0.020039948,0.045270082,0.030570587,0.00954604,0.018410372,0.020293368,0.284656495,0.089247905,0.337933004
Cdc5l,0.423863918,0.468527645,0.760583222,0.740393519,0.779969513,0.680557132,0.644799113,0.610370755,0.563968301,0.524330318,0.485127628
Mtf2,0.243438855,0.249241427,0.363616586,0.349379927,0.353163987,0.340798438,0.254544795,0.258817136,0.265947044,0.174478188,0.191745833
Orc1,0.002089115,0.007149165,0.166319683,0.067688212,0.12272162,0.140042379,0.113221541,0.039300006,0.041636042,0.013249054,0.002422533
Brpf1,0.123875305,0.112040788,0.206373408,0.178804785,0.203353703,0.214872435,0.169765875,0.11771436,0.138435453,0.136867955,0.151651233
Pcgf5,0.441154748,0.457103342,0.313601196,0.233955652,0.25537768,0.311008155,0.212302834,0.256411731,0.207436696,0.196805939,0.105444819
Cd3g,2.481984377,2.155926943,1.777951717,2.274215221,2.02262044,2.047159672,2.267360687,2.399426937,2.721141815,2.570836067,2.282638073
Ankrd55,0.016547112,0.022296561,0.049464624,0.047486778,0.066112213,0.055814311,0.054122519,0.079841033,0.032779068,0.011786207,0.012968685
Fos,0.866178453,1.788304329,0.622477055,0.628073752,0.703252733,0.636470973,0.478325099,0.624626935,0.154842213,0.773602843,0.721056104
Zfp280b,0.028216738,0.032767963,0.091418304,0.0516138,0.073242016,0.063180365,0.060896222,0.045430072,0.074657343,0.031118497,0.030469168
Polr3d,0.112971693,0.130415976,0.1364896,0.072336897,0.102111973,0.104672208,0.115942717,0.113473967,0.094828933,0.084511064,0.049956117
Setd7,0.2464623,0.162224501,0.079876229,0.071621127,0.085118622,0.072623812,0.071220227,0.128933534,0.127375185,0.132786229,0.108803034
Daxx,0.217753142,0.230658576,0.245451182,0.246769249,0.264222056,0.213100985,0.26939097,0.333757222,0.243573084,0.314018369,0.203265563
Tbp,0.070619382,0.065275684,0.130876437,0.109998591,0.132794976,0.100352645,0.086808339,0.066164836,0.060792487,0.070813403,0.074940361
Atf4,0.459840357,0.963434815,0.792159617,0.735063434,0.8443771,0.794419229,0.831371248,0.73773104,0.61039871,0.787656486,0.749997675
Cops2,0.183877692,0.271580487,0.500488579,0.413957894,0.466086447,0.380337179,0.416869134,0.444191575,0.331046253,0.284221917,0.257031351
Zfp239,0.01890414,0.01244953,0.029461218,0.009364543,0.009938028,0.017992502,0.013475657,0.028695889,0.007258261,0.008521616,0.005783268
Sirt6,0.061018407,0.046138365,0.072227374,0.095386364,0.0985054,0.061505988,0.069220386,0.063455552,0.086514682,0.064057752,0.059079945
Il4ra,0.285493255,0.485462636,0.075802706,0.051233474,0.066656537,0.051664986,0.054390509,0.105827183,0.057286024,0.092254892,0.082127094
Nap1l1,0.728716433,0.75122726,2.035193682,1.703194261,1.809629321,1.906588435,1.61505115,1.370210409,1.537148833,0.862013757,0.8476758
Mxd3,0.012407859,0.015717279,0.238057584,0.633652389,0.398955703,0.318150431,0.113227315,0.048608921,0.036822684,0.00952745,0.006595199
Hira,0.069109797,0.081341073,0.186297342,0.130447298,0.172262445,0.151520014,0.128588781,0.098937757,0.103048533,0.101675697,0.079249769
Icos,0.127244994,0.305233449,0.621563494,0.809415221,0.765959918,0.675001144,0.816839635,1.129533529,0.837409675,0.926283956,0.468504965
Itgal,0.455705583,0.508294821,0.618036389,0.967211783,0.800677955,0.859130085,0.882023335,0.947773039,1.250063419,1.298222542,1.494711161
Il2ra,0.014845115,0.002240501,0.352930546,0.180236295,0.268015742,0.224807352,0.21803318,0.05160528,0.123969749,0.099227652,0.049916849
Snd1,0.225229636,0.177007556,0.402930677,0.326804757,0.431322664,0.35863331,0.352196634,0.3467637,0.239362568,0.24330005,0.194694355
Pnn,0.806366861,0.833481014,1.235703707,0.929462492,1.091200471,1.221608043,1.149607182,0.919171453,0.934597135,0.828640759,0.79698956
Gtf2ird1,0.044870663,0.011056587,0.036090508,0.009217301,0.032965165,0.014295816,0.013143234,0.010521245,0.013874057,0.002976077,0
Ints12,0.045021307,0.055799734,0.109987378,0.132238567,0.126637682,0.097772382,0.104278289,0.112214029,0.1172451,0.083232984,0.060886864
Hmg20b,0.187401727,0.140726939,0.279040784,0.306260496,0.314975977,0.23566477,0.257113069,0.218502417,0.263620257,0.197772175,0.200936422
Suz12,0.367464513,0.313783199,0.99526,0.889596939,0.913247287,0.951407433,0.651528955,0.468145341,0.50615263,0.395857126,0.399014264
Il12rb1,0.021728542,0.028445812,0.11187391,0.129003391,0.109560087,0.113818653,0.110154808,0.057617866,0.132953838,0.079796292,0.05066938
Ruvbl1,0.176239386,0.147639275,0.610348642,0.292426854,0.402806401,0.344402641,0.335981578,0.309723258,0.222986639,0.130160823,0.107705817
Runx3,0.832417369,0.833040893,0.969768047,0.943666816,1.142868519,0.89725256,0.879360318,0.791094601,0.852713466,0.703341067,0.824746788
Aatf,0.198982596,0.161424428,0.286691785,0.165007755,0.233203024,0.208255783,0.181225359,0.211227179,0.173456654,0.127762064,0.115961567
Btla,0.110223852,0.10502211,0.070149645,0.076735288,0.07476306,0.073107667,0.082452364,0.21528241,0.142278031,0.06820672,0.030315183
Ccr5,0.017139023,0.122099265,0.273168653,0.527343333,0.449902236,0.39977625,0.594742358,0.119472072,0.415955693,0.805888832,0.520982265
Med17,0.125052571,0.110680617,0.233508185,0.187388152,0.224755123,0.157686695,0.184627786,0.166190103,0.169333175,0.143692613,0.11880026
Gtf2i,0.576336145,0.72972846,0.403497487,0.518303931,0.520489275,0.458863199,0.562425435,0.628197134,0.579942942,0.858583033,0.90772754
Foxn3,0.448209584,0.426570863,0.244048491,0.552420795,0.372805715,0.352801055,0.289552599,0.390090495,0.8705042,0.582045972,0.686493158
Jdp2,0.00228597,0.011458407,0.12443886,0.097338982,0.107581541,0.116056293,0.081027083,0.14994587,0.131650656,0.054736327,0.024923062
Maff,0.013750966,0.148118854,0.026058868,0.01892619,0.02155737,0.014208273,0.019565267,0.036872029,0.001723715,0.02048357,0.010440332
Cbx1,0.416423619,0.294283897,0.970077455,0.91900444,0.944265544,0.898870647,0.811414838,0.568256795,0.597318351,0.394149631,0.401769549
Ube2a,0.272307783,0.356152922,0.721841335,0.807197034,0.796062291,0.76259619,0.766769648,0.522447407,0.56987673,0.432581156,0.432628423
Ncoa5,0.062560886,0.063578762,0.100244381,0.07598874,0.09973824,0.092766717,0.08136908,0.054186836,0.053162985,0.060496431,0.069332227
Ikbkb,0.666306436,0.53507185,0.318539858,0.319054991,0.319235474,0.283518821,0.328411967,0.390763313,0.413279921,0.427608967,0.403995991
Klra3,0.004005369,0.025540249,0.008554319,0.036035411,0.014285146,0.012813683,0.021069622,0.001418744,0.123956047,0.02030638,0.100572169
Zfp560,0.159184664,0.153004944,0.177778378,0.156088889,0.176892072,0.168241724,0.187155366,0.24001421,0.214096203,0.172082618,0.195867211
Pdcd1,0.008298527,0.010178252,0.285299748,0.331645072,0.2954216,0.341539741,0.289058149,0.457035422,0.633382082,0.07350903,0.043434918
Btbd11,0.087332323,0.106286295,0.026474068,0.01896021,0.020287178,0.020253295,0.01257756,0.038062621,0.022744399,0.086308092,0.048651081
Pias3,0.02264983,0.014708824,0.04716279,0.079485178,0.060605627,0.05057041,0.054164622,0.048345119,0.074686125,0.048571873,0.075293303
Med13,0.259727657,0.237356931,0.281406492,0.389717489,0.382532686,0.261939168,0.316989928,0.403663665,0.463762194,0.392902285,0.403723866
Pa2g4,0.437803566,0.51829803,1.395968437,0.826989472,1.06219101,0.990426302,0.771642327,0.622614443,0.527683496,0.387345135,0.28034091
Phf19,0.00121385,0.003679233,0.061467402,0.060624659,0.05015346,0.062633537,0.033659123,0.020330599,0.020143934,0.005902295,0.004433112
Dnajc2,0.490086108,0.518828094,1.139800549,0.891178131,0.990819335,0.979363084,0.929788351,0.747859061,0.646687031,0.521280527,0.474086016
Cxcr3,0.076657005,0.243369296,0.782078445,0.821363688,0.852909029,0.666736543,0.824154973,0.965227365,0.661080182,1.046783686,0.258819968
Hexim1,0.230308831,0.453427345,0.169902682,0.235266432,0.232922763,0.189365029,0.213840365,0.245055079,0.150088578,0.276861399,0.267990261
Per1,0.074082382,0.260284245,0.10078644,0.159176826,0.144883409,0.150261194,0.122497879,0.245280415,0.108301066,0.207113668,0.175998732
Jazf1,0,0.005173182,0.016524319,0.032069147,0.021343939,0.026957912,0.012377919,0.016355975,0.014760112,0.010919812,0.006294438
Nfatc1,0.232294947,0.242733821,0.340728343,0.458436519,0.387907952,0.3653678,0.369712919,0.501907766,0.644227087,0.422072381,0.343320459
Il2rg,1.042526007,1.202695966,0.619324863,0.956443489,0.819112599,0.797378361,0.838694632,1.103652954,0.969317496,1.263003111,1.136916637
Cd24a,0.005644624,0.01447508,0.141173899,0.046991006,0.087102003,0.069961905,0.072833538,0.021611126,0.006592417,0.007399627,0.004697785
Hdac4,0.282131523,0.256890416,0.085340209,0.104654185,0.098699875,0.081963174,0.054090496,0.110354044,0.102052987,0.123566672,0.082792863
Egr1,0.200161442,0.312359095,0.226266205,0.299909204,0.312173277,0.29537186,0.210733891,0.291859627,0.225487411,0.448812425,0.388396502
Ncoa1,0.126449868,0.110282794,0.167614356,0.192783743,0.172301933,0.154099897,0.147202507,0.240160301,0.231592119,0.211678922,0.196035147
Rai1,0.216199517,0.116183341,0.091313675,0.073563181,0.0800329,0.089174621,0.050413452,0.09975706,0.073537037,0.102314889,0.073311478
Toe1,0.095009647,0.096407019,0.301944464,0.260266811,0.343896389,0.289367706,0.24181056,0.159692019,0.162103295,0.138668299,0.12647672
Jun,0.894978225,1.783576846,0.666093886,0.59671402,0.675583422,0.611148298,0.580074251,0.841164231,0.563106775,0.890508771,0.68019104
Phf13,0.036425855,0.045143452,0.082848981,0.08077421,0.107392393,0.105908342,0.106208578,0.066849589,0.07266143,0.063056394,0.068408698
Klrk1,0.046997331,0.194700316,0.669407487,0.910718262,0.863565385,0.736079812,0.857213497,0.764531314,0.964623034,1.23396039,1.254630327
Zfp707,0.052656271,0.029136732,0.046827793,0.10346777,0.071509764,0.055331241,0.049157798,0.069796331,0.08839681,0.076046668,0.062198579
Nfkbiz,0.266797423,0.5328601,0.542444706,0.793603957,0.739209294,0.716335356,0.735847712,1.055184245,0.898675561,0.874920905,0.682812154
Ube2e1,0.296733379,0.32345134,0.566755772,0.351484567,0.43439135,0.469253302,0.422622085,0.43020919,0.370909125,0.325068265,0.314710677
Kat2a,0.091357455,0.083338775,0.166712791,0.07011307,0.114324264,0.10550829,0.08281593,0.09876515,0.073799528,0.054694157,0.043075886
Maf1,0.313948274,0.324479163,0.203810766,0.317029417,0.296621859,0.227895007,0.30175814,0.351249337,0.386626035,0.437503785,0.453363329
Mcm2,0.122658662,0.12664929,0.789645851,0.445403099,0.637716115,0.876417637,0.576218545,0.266963035,0.380789787,0.123638615,0.106271289
Cxcr6,0.353220671,0.088897742,0.505797088,0.671586335,0.656680822,0.665251076,0.914698303,0.237272754,1.137295842,1.35509336,0.744005084
Ifngr2,0.187690407,0.136257514,0.008860803,0.00118377,0.006832862,0.000778801,0.001213197,0.001295754,0.00120105,0.000785811,0
Msl3,0.129908368,0.09676519,0.269380033,0.248189107,0.248541966,0.270294815,0.22959362,0.200084299,0.16008766,0.12736021,0.106646255
Zdhhc6,0.115254022,0.094099075,0.247493982,0.202348799,0.221111029,0.227785319,0.210751638,0.206916004,0.172950238,0.148905128,0.125053912
Ddb2,0.105792105,0.102432959,0.07874997,0.139108524,0.129263222,0.118864119,0.092796549,0.093090422,0.081821308,0.106935062,0.037315045
Sp110,0.762241244,0.656214654,0.385397196,0.643070221,0.515295565,0.516821384,0.419100821,0.768214643,0.736106634,0.991182685,0.876762629
Med31,0.107645817,0.11745327,0.172313273,0.213333294,0.217257887,0.140055865,0.190933973,0.179086059,0.11619091,0.11552877,0.09720134
Blzf1,0.066600017,0.074715272,0.084814034,0.076638333,0.100315288,0.064108633,0.098482594,0.08673308,0.064667344,0.055564176,0.043123268
Nono,0.685091913,0.631815851,1.21253705,1.172918677,1.150274396,1.120222211,1.048414826,0.910246551,0.880902231,0.751374304,0.652293265
Rbbp4,0.565404534,0.521718025,1.152531981,1.212560058,1.144184589,1.194463253,0.953878999,0.83684504,0.672709465,0.638503373,0.591549993
Brd9,0.211982608,0.265678674,0.445659667,0.622924924,0.555670619,0.475510776,0.487899244,0.381782085,0.294165194,0.363151699,0.421209991
Zeb2,0.008031919,0.017552618,0.197866186,0.35147506,0.310441434,0.310097784,0.314679652,0.143133789,0.411800623,0.505419314,1.959770679
Gtf3a,0.313746512,0.340196311,0.84480536,0.596800447,0.756783783,0.750920653,0.680329561,0.565654695,0.496665001,0.408548057,0.297071904
Dek,0.680908024,0.746502876,1.757091641,1.9271667,1.755007625,1.921235323,1.595543385,1.004496336,1.066277027,0.907020092,0.918004513
Nt5e,0.03043459,0.142733499,0.019172983,0.017103214,0.023504285,0.013923489,0.022885419,0.072322711,0.005904794,0.03766349,0.048682217
Selplg,1.437256694,1.273438692,1.326765776,1.758054614,1.648231149,1.575616598,1.746311545,1.417700171,1.766349435,2.052568436,2.092088461
Cd160,0.148251176,0.114036024,0.541097581,0.525442898,0.525409162,0.511648417,0.523084164,0.791248918,0.949235618,0.245584801,0.17795895
Tcf20,0.336559892,0.210439235,0.207759142,0.191264883,0.201466739,0.19571647,0.153506294,0.242441192,0.189521909,0.248701274,0.174066737
Pms1,0.08330895,0.043187011,0.117775321,0.0820847,0.084770791,0.114804402,0.074226573,0.098966308,0.085036278,0.0640385,0.037225969
Supt16,0.468589932,0.43935746,1.311043262,1.154354572,1.268615961,1.148248315,1.037585735,0.821935892,0.710690677,0.493433386,0.479928106
Ing1,0.36624527,0.328191012,0.412128955,0.539733291,0.455127656,0.385190219,0.333484441,0.305803478,0.342514455,0.320790946,0.400598049
Klf7,0.367177993,0.328755617,0.151710078,0.147965625,0.168008059,0.131909668,0.125709444,0.193394259,0.215911657,0.253044456,0.220816061
Cd72,0.241754338,0.193170443,0.094826408,0.092762075,0.083722912,0.08432924,0.091946095,0.238852948,0.107554547,0.117544964,0.052851528
Srf,0.045329947,0.045996089,0.176236272,0.129759252,0.151053876,0.11207886,0.111747764,0.104527034,0.080613859,0.084593356,0.060788166
Btg2,1.102299929,1.215603232,0.636493742,0.98083955,0.927697241,0.830679536,0.900381029,0.888300717,1.105020881,1.48089993,1.498434305
Nfya,0.087510802,0.057978451,0.107534267,0.151397079,0.120243654,0.114265785,0.073204793,0.066112116,0.053976163,0.068095319,0.060320556
Rreb1,0.152997047,0.118000679,0.037996806,0.040325772,0.040494442,0.028949339,0.029801406,0.053551789,0.039815646,0.081666827,0.077739418
Psip1,0.602968633,0.548554003,0.994964421,0.957660556,0.93463254,1.006502271,0.826315761,0.613039255,0.621168554,0.545909286,0.64750284
Brip1,0.012306476,0.020083262,0.214806274,0.293219894,0.262419611,0.296402961,0.110739574,0.061259635,0.072190076,0.01764613,0.010357747
Med16,0.077873901,0.131632656,0.1227559,0.150028512,0.159130707,0.124307379,0.120597005,0.109255418,0.09576422,0.103947915,0.082202844
Sell,1.322556615,1.371584654,0.08981885,0.031746775,0.084174447,0.017526381,0.019514982,0.237892926,0.018907821,0.033309158,0.014478309
Cd44,0.045841463,0.155009314,0.337748945,0.483046591,0.373909861,0.364914447,0.366157621,0.447264254,0.626262307,0.562385798,0.305445224
Id2,0.435903907,0.559285581,1.076300979,1.696616411,1.513457894,1.385038257,1.699447155,0.912855327,1.922054052,2.081887245,1.898661137
Irf8,0.022817161,0.052555833,0.273606122,0.306588352,0.280476809,0.296375096,0.240251258,0.227494597,0.557286978,0.124724373,0.056154907
Cxcr5,0.013347377,0.039568823,0.003113538,0.004844674,0.009671847,0.003080972,0.005514247,0.066082396,0,0.005988804,0
Cd55,0.248106748,0.277658701,0.053084299,0.085577928,0.091834664,0.079273723,0.112789303,0.078206778,0.086963117,0.15873675,0.03330069
Tcf4,0.067909092,0.009850992,0.06649971,0.056389254,0.057183389,0.070508078,0.048764762,0.113574773,0.11455705,0.044243336,0.046710443
Zfp382,0.016866073,0.011675243,0.02609531,0.048882868,0.036821268,0.042543769,0.020708522,0.029153185,0.029460156,0.028480092,0.01222339
Nsd3,1.017610073,1.095596075,0.554648042,0.750288427,0.704954922,0.656172454,0.631908476,0.737856805,0.773878574,0.938901424,0.982257307
Ar,0.146709397,0.11269962,0.078340203,0.126468852,0.107681617,0.072999291,0.08727853,0.230900824,0.192379415,0.126118064,0.117988028
Igf2r,0.152234137,0.20274429,0.185687959,0.308815211,0.311864048,0.307716429,0.307947278,0.314824075,0.352213621,0.44190982,0.281616569
L1cam,0.0091204,0.007658351,0.028878085,0.076389089,0.056517363,0.057716392,0.056778863,0.022051463,0.112814397,0.062996186,0.0732297
Tcf12,0.594501913,0.57799679,0.247144416,0.263930917,0.271692038,0.272540212,0.179096684,0.531655729,0.331342012,0.316750348,0.324982405
Cd96,0.446535259,0.310429573,0.156383753,0.325907379,0.25148952,0.24976711,0.280040085,0.317460954,0.480061203,0.553379238,0.486578852
Xrcc5,0.146073759,0.14373897,0.277341098,0.185839683,0.258967161,0.198170364,0.185075477,0.23220858,0.125118345,0.100557499,0.072408713
Skil,0.27807945,0.353242606,0.193461955,0.181947872,0.198640794,0.149776012,0.171025142,0.246102318,0.089886248,0.225040048,0.177147567
Mbd4,0.035431858,0.016261188,0.141576514,0.11134281,0.119384274,0.153465942,0.105300069,0.055035893,0.06362316,0.024996091,0.029262083
Jund,1.801961064,2.537782907,1.796382904,1.935514927,1.946998239,1.937266469,1.849018097,2.067512989,1.73045814,2.151656866,1.996238947
Spn,0.544142783,0.500289261,0.877375126,1.123390675,1.107168436,0.9537763,1.093326449,0.823700488,1.153569102,1.117316365,1.582050562
Sin3b,0.507084191,0.526648045,0.823331177,0.957607269,0.916314125,0.901298702,0.946225166,0.758607984,1.036468267,0.814115763,0.817438841
