,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Ptprj,0.006980323,0.001892584,0.113173366,0.130787835,0.128173277,0.116987392,0.086144298,0.11889486,0.121625826,0.110395893,0.091590732
Pawr,0,0,0.016353529,0.002940477,0.008807658,0.013618141,0.007726781,0.003180061,0.006985032,0.002113669,0.001035992
Pbxip1,0.310273051,0.303774089,0.186446592,0.239769116,0.226866439,0.212259054,0.250046074,0.474629551,0.377420187,0.549863756,0.372716933
Ssbp2,0.552560091,0.435927331,0.035161335,0.023205023,0.035081305,0.012732394,0.02264145,0.076969288,0.07127142,0.07106968,0.013647154
Irf2,0.666782677,0.690557301,0.477573544,0.777520597,0.654029787,0.595868289,0.675313413,0.798490763,0.980377972,0.864203811,0.93386358
Taf13,0.123768941,0.146723986,0.223200232,0.248229221,0.242813006,0.18866393,0.287816793,0.242472455,0.235402882,0.203537986,0.213448107
Itga1,0.003359523,0.006918291,0.057615351,0.151931122,0.08212892,0.088297665,0.121482208,0.058332469,0.279564738,0.345192909,0.253671855
Adam17,0.125679851,0.134685397,0.242254719,0.256637305,0.294850171,0.241217002,0.242974788,0.197758049,0.196832925,0.187991172,0.287393183
Smarcd1,0.164414465,0.103306592,0.259427339,0.242388994,0.226798564,0.211816862,0.180815548,0.220370069,0.162299573,0.160384968,0.140118092
Preb,0.163896114,0.165845901,0.309237748,0.307216316,0.320351273,0.26226446,0.267657965,0.235055268,0.194095433,0.20748885,0.177327499
Prmt3,0.238423869,0.206997767,0.265510023,0.116767153,0.158453852,0.218676955,0.140257284,0.162265584,0.144962564,0.103035316,0.080466278
Pbx4,0.006296603,0.012649767,0.03157036,0.029774524,0.025834816,0.027968721,0.025914609,0.060084168,0.016299808,0.014829176,0.007195987
Cbx3,0.863698781,0.78320533,1.77744019,1.784082055,1.697330594,1.812977552,1.647814989,1.158976912,1.161496162,0.941322446,0.863961339
Tarbp2,0.098486848,0.115888409,0.250658691,0.237044126,0.218824327,0.203610614,0.213275194,0.178754583,0.134154499,0.128489852,0.106348686
Med8,0.277518719,0.230638608,0.486934781,0.52511853,0.509995401,0.441483617,0.488779843,0.468398154,0.366904348,0.350777626,0.374165624
Hax1,0.086749107,0.107346036,0.282359153,0.178205401,0.225370154,0.184544757,0.181290284,0.146869764,0.125117287,0.095431373,0.095230475
Irf9,0.402453303,0.372226477,0.170984879,0.396496952,0.284210294,0.235669434,0.302169204,0.443204463,0.510525048,0.456431329,0.372710794
Slamf1,0.029035086,0.076163918,0.138303265,0.209440708,0.167435259,0.156696677,0.171588749,0.147144198,0.260017872,0.181058824,0.156251043
Smad7,0.771348119,1.016151071,0.330130845,0.522867143,0.522696435,0.377105743,0.483457893,0.586020291,0.409572423,0.758922696,0.56189537
Csf2ra,0.016663447,0.010836136,0.042492479,0.0161517,0.03139478,0.017436484,0.015533894,0.026533628,0.01177177,0.004901052,0.001670036
Creg1,0.149452433,0.141407087,0.206395939,0.130385578,0.167175651,0.157307774,0.136683956,0.133811668,0.05532638,0.087625004,0.096676007
Hnrnpab,0.769184947,0.835054159,1.976349473,1.715667605,1.837386847,1.913234115,1.553909302,1.046105862,1.006497383,0.805766821,0.709124088
Bop1,0.097505778,0.113147333,0.33854425,0.199484825,0.270703107,0.232199177,0.207837284,0.232822061,0.17907016,0.141816691,0.11247877
Tshz1,0.136831239,0.118758656,0.205644488,0.190131381,0.198501408,0.222246751,0.146165133,0.129006788,0.20275417,0.159671783,0.128276795
Dhx38,0.115520477,0.161565289,0.297408223,0.225670829,0.289397687,0.223277688,0.229076058,0.232127368,0.199926496,0.170773491,0.141472369
Nkrf,0.039133895,0.049215436,0.07233949,0.037406009,0.061005168,0.052746795,0.036164578,0.051529359,0.034261256,0.029094892,0.017676702
Prmt5,0.161395863,0.150615141,0.35126102,0.187498957,0.269515783,0.287652344,0.207576782,0.191706881,0.115868755,0.123477243,0.103051089
Rfc1,0.293071479,0.250137568,0.647267878,0.439693391,0.55669415,0.693722904,0.37562263,0.373106092,0.27712962,0.194596007,0.177883968
Mcm8,0.005543763,0.005668936,0.125282556,0.068174288,0.097492449,0.10223271,0.044141755,0.019704463,0.024055842,0.005632719,0.003453665
Mllt3,0.316556782,0.33760345,0.429102868,0.521495581,0.488663614,0.445403129,0.355007797,0.544012249,0.432755172,0.403914601,0.30353269
Mtf1,0.078617163,0.108033121,0.184085086,0.159280837,0.171203569,0.169464648,0.203544706,0.155455068,0.142394528,0.141662061,0.116150923
Tulp4,0.192743912,0.155330479,0.221945137,0.238027915,0.238338202,0.209235504,0.213754311,0.306001425,0.435889661,0.246059775,0.256936073
Mbd3,0.458791763,0.359122306,0.766218722,0.545177162,0.595953345,0.608758867,0.580025673,0.497562677,0.464812338,0.393274724,0.371151328
Cbfa2t3,0.004292219,0.002549432,0.065247148,0.026274294,0.050870854,0.038408801,0.015217793,0.052043945,0,0.002685952,0.001149455
Dtx1,0.475897938,0.406869173,0.256331921,0.345654428,0.395672351,0.324781239,0.343002439,0.234482467,0.21434699,0.373111963,0.322677016
Cbx5,0.159150764,0.087256067,0.726985872,0.756720304,0.746641576,0.737726152,0.451872349,0.296299875,0.316962034,0.150313035,0.129225656
Tnfrsf9,0.031898249,0.031263381,0.483895808,0.358380616,0.443820596,0.405423611,0.408049643,0.278046936,0.247932568,0.077906735,0.023938004
Bard1,0.009712349,0.022080244,0.224202543,0.258009374,0.251306176,0.284768492,0.12129838,0.05777302,0.082909033,0.025180956,0.020602927
Itgax,0.008188595,0.023002507,0.104736008,0.312296182,0.242044359,0.26462245,0.32799229,0.093034975,0.414717287,0.696337044,0.482594132
Xrcc3,0.001069917,0.00295864,0.030789638,0.016627563,0.024940707,0.027012952,0.011017715,0.006454402,0.004609723,0.003410379,0.00130134
Znrd1,0.415458798,0.371978223,0.630854726,0.659726739,0.647852659,0.536613226,0.580529869,0.571357965,0.477970123,0.429850817,0.393904001
Elf1,1.052271366,1.425554633,0.777169645,1.023432851,1.001044869,0.88971895,0.996132493,1.024345398,0.89211297,1.267044187,0.959699035
Hdac3,0.130010411,0.124569237,0.338424265,0.316721916,0.321049929,0.276251793,0.281476617,0.213672265,0.206194893,0.153143182,0.137360126
Sfmbt1,0.026644131,0.02531321,0.094556101,0.066214114,0.084125213,0.137524739,0.047984336,0.042893734,0.039372992,0.024338935,0.031076588
Tle1,0.042759862,0.037770327,0.099827878,0.027855197,0.062936656,0.067441441,0.04282441,0.019051129,0.032288477,0.044558086,0.063835673
Clec12a,0.002556711,0,0.042313181,0.004489773,0.035096388,0.009409958,0.013506132,0.004785945,0.002062839,0.003950468,0.002547065
Sema4d,0.350600004,0.411376327,0.645157158,0.692828298,0.72997576,0.626735508,0.615895033,0.589432716,0.756083488,0.636670649,0.440721661
Max,0.310721397,0.335327595,0.321225137,0.343626678,0.353183448,0.328609139,0.314755887,0.540367424,0.437925458,0.356521636,0.305954069
Rbm14,0.038127068,0.068643898,0.307701916,0.197450981,0.25568217,0.254212946,0.201679215,0.150802463,0.113797173,0.075379834,0.055149123
Etv6,0.077753089,0.101608582,0.116094947,0.115856156,0.138313681,0.129290298,0.072811805,0.202403948,0.105861932,0.120286785,0.109520487
Nfkbia,0.928040743,1.253125668,1.43230772,1.726741314,1.720650911,1.725448132,1.549173474,1.907120943,1.186289549,1.835626006,1.833679438
Ets1,1.507915854,1.564842701,1.071262717,1.470757723,1.310966492,1.232075334,1.483742833,1.596351862,1.575694442,1.729868174,1.879466772
Tle3,0.25693357,0.275743395,0.299640894,0.326277405,0.331279963,0.318288863,0.332787424,0.4692384,0.335216433,0.41816929,0.342583954
Kmt2c,0.537797153,0.518191934,0.213057414,0.262569547,0.257069588,0.21303302,0.168082222,0.265966445,0.360903442,0.366317928,0.415305376
Hic1,0.002078725,0.003586608,0.038340762,0.025382938,0.036941793,0.026378451,0.040645413,0.040922057,0.035405703,0.010949207,0.007278697
Nfat5,0.180535346,0.241779104,0.212534547,0.310384482,0.27475068,0.23265253,0.244221762,0.481689781,0.31263119,0.27949512,0.337225914
Hopx,0.165374964,0.541714728,1.051488876,1.023701549,1.123701334,0.970688164,1.199076176,0.909062564,1.022319078,1.550299168,1.464851379
Itgb1,0.188811868,0.246972814,0.923856676,1.197114944,1.044758081,0.953057587,1.070540667,1.847175479,1.038462043,1.535502315,1.929117203
Tnfsf8,0.19406426,0.268888354,0.053930297,0.057674818,0.058147486,0.045001604,0.027993133,0.658215821,0.075527705,0.029575754,0.013425307
Smarcc2,0.18958497,0.135157734,0.290490896,0.340381116,0.345828593,0.31817925,0.208541229,0.243845567,0.285971195,0.219744369,0.208603069
Adam10,0.260559142,0.232184306,0.332608312,0.388497353,0.394994527,0.359551042,0.339523643,0.328311443,0.446912229,0.33896789,0.31796515
Snrpd1,0.599382699,0.685774863,1.73597157,1.625901103,1.646554351,1.733058929,1.45200491,1.049663544,0.896659136,0.714926422,0.545823216
Mybl1,0.001147362,0,0.02451016,0.042360775,0.030350724,0.027658777,0.01199264,0.005623428,0.00564332,0.001017815,0.008577152
Rbbp7,0.500163794,0.421331584,1.240865827,1.093988299,1.149634838,1.08995676,0.90729636,0.644965649,0.619525373,0.419751465,0.384342015
Tnfrsf13c,0.008263769,0.006052711,0.093684457,0.071567483,0.113889709,0.067045018,0.137539983,0.067042477,0.046243731,0.024706323,0.024526019
Mxd4,0.262245357,0.166487694,0.058353286,0.145611778,0.127719805,0.09766189,0.171997681,0.390534669,0.355803937,0.385609746,0.496699572
Il2rb,0.259970158,0.651622951,1.172387958,1.17032361,1.32509613,1.130960941,1.270019174,0.906520247,1.269933581,0.824853241,0.717838883
Khdrbs1,0.727640748,0.700290084,1.093875408,0.926691115,1.056090355,0.954501033,0.930214524,0.870091558,0.699263752,0.733945131,0.650354326
Rnf2,0.117964342,0.166685462,0.157294288,0.172360793,0.175230846,0.172253609,0.156008646,0.210577652,0.158520669,0.134162366,0.132395297
